smiles,is_potent_any,split
O=C(O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-],0,train
Cc1nc(C=O)c2c(n1)N(Cc1ccc(-c3ccccc3-c3nn[nH]n3)cc1)C(=O)CC2,1,train
CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](NC(=O)[C@@H](N)CS)C(C)C)C(=O)O,1,train
Nc1ncnc2c1cnn2[C@@H]1C=C[C@@H](O)[C@H]1O,0,train
CCOC(=O)c1cc2c(cn1)sc1ccccc12,1,train
COc1ccc(S(=O)(=O)N2CCN(C(=O)NCc3ccccc3)CC2C(=O)NO)cc1,1,train
O=C(/C=C/c1ccc(O)c(O)c1)O[C@H](Cc1ccc(O)c(O)c1)C(=O)O,1,train
CC(C)(C)NC[C@H](O)CON=C1c2ccccc2-c2ccccc21,1,train
CC(C)(C)NCC(O)CON=C1c2ccccc2-c2ccccc21,1,train
O=C(O)Cc1cccc(-c2cc(CCCCc3ccc(O[C@H]4O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]4O)c(-c4cccc(CC(=O)O)c4)c3)ccc2O[C@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@@H]2O)c1,0,train
CCCCC1Nc2ccc(CC)cc2C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,1,train
CCC(C)(C)c1cc(/C(C)=C(F)\C=C\C(C)=C\C(=O)O)c(OCC(F)F)c(C(C)(C)CC)c1,1,train
Cc1nc2cc(OC[C@H](O)CN3CCN(CC(=O)N[C@@H](C)c4ccccc4)CC3)ccc2s1,1,train
N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)cc1,1,train
Cc1ccccc1/N=C1/C(=O)c2cncnc2C(O)=C1Cl,1,train
O=C1CCN(C(=O)Cc2ccc(Cl)c(Cl)c2)C(CN2CCCC2)C1,1,train
COc1ccc(S(=O)(=O)C2(C(=O)NO)CCN(CCCOc3ccccc3)CC2)cc1,1,train
O=S(=O)(O)c1cc(O)c2c(ccc3[nH]c(-c4ccc5ccccc5c4O)nc32)c1,1,train
CC(C)(C)OC(=O)N1Cc2[nH]c3ccccc3c2CC1C(=O)N[C@H]1CCCN2C(=O)N(Cc3ccccc3)C(=O)C[C@@H]12,1,train
O=C(Nc1ccc(F)cc1F)Nc1cnc2ccc(Cl)cc2c1-c1ccccc1Cl,1,train
O=C(O)COc1c(F)cc(SCCNS(=O)(=O)c2ccc(Cl)cc2)cc1F,1,train
c1ccc(Nc2ncc(-c3ccccc3)s2)cc1,1,train
COc1c[n+](C)c(C)c2[nH]c3ccccc3c12,0,train
Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1,1,train
COCCN(CCOC)C(=O)N1CCN(S(=O)(=O)c2ccc(Br)cc2)C(C(=O)NO)C1,1,train
C[C@@H](N)Cc1c2c(c(Br)c3c1OCC3)OCC2,1,train
C/C(=N\NC(N)=O)c1cccc(Cl)c1,1,train
Cc1ccccc1N1N=C(c2c(-c3ccc(F)cc3Cl)nc3ccccn23)CCC1=O,1,train
COc1ccc2[nH]cc(C3=CCN(CCCN4c5cccc6cccc(c56)S4(=O)=O)CC3)c2c1,1,train
O=C(O)CC1CCc2cc(NC(=O)/C=C/C3CCNCC3)ccc2C1=O,1,train
CCCCCCCC(=O)N1CCC[C@H]1C(=O)N1CCCC1,1,train
Nc1nc(N)c2nc(CNc3ccc(C(=O)N[C@@H](CC(F)C(=O)O)C(=O)O)cc3Cl)cnc2n1,0,train
CN1CCCC1CCN1C(=O)c2cccc3cc4ccccc4c(c23)C1=O,1,train
COC(=O)NC(C(=O)NN(Cc1ccc(OC)cc1)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)c1ccc2ccccc2n1)C(C)C,1,train
COc1ccc(-c2cc(Oc3ccccc3)nnc2-c2ccc(OC)cc2)cc1,1,train
Cc1[nH]c([C@@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](CC(C)C)OC(=O)NC2CCCCC2)nc1C(=O)O,1,train
CCCOCC(Cc1ccc(F)cc1)Nc1nc2cc(C(C)C)ccc2o1,1,train
CC(C)[C@H](NC(=O)[C@@H](N)CS)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,1,train
OC1(c2ccccc2)c2ccccc2C2=NCCCN21,1,train
O=C([C@H]1CCCN1C(=O)c1cccc(C(=O)N2CCC[C@H]2C(=O)N2CCCCCC2)c1)N1CCCC1,1,train
